Index,Formatted Author(s) and Year,Publication Year,Citation Count,Journal Name,Article Title,Additional Data,Full Citation
1,E Deserranno (2019),2019,217,American Economic Journal: Applied Economics,Financial incentives as signals: experimental evidence from the recruitment of village promoters in Uganda,,E Deserranno (2019). Financial incentives as signals: experimental evidence from the recruitment of village promoters in Uganda. American Economic Journal: Applied Economics.
2,PA Celhay et al. (2019),2019,51,American Economic Journal: Applied Economics,Long-run effects of temporary incentives on medical care productivity,,"PA Celhay, PJ Gertler, P Giovagnoli (2019). Long-run effects of temporary incentives on medical care productivity. American Economic …."
3,P Celhay et al. (2015),2015,5,American Economic Journal: Applied Economics,Long-Term Effects of Temporary Incentives on Productivity in Medical Care Clinics,,"P Celhay, P Gertler, P Giovagnoli (2015). Long-Term Effects of Temporary Incentives on Productivity in Medical Care Clinics. American Economic …."
4,F Barrera-Osorio et al. (2019),2019,104,American Economic Journal: Applied Economics,Medium-and long-term educational consequences of alternative conditional cash transfer designs: Experimental evidence from Colombia,,"F Barrera-Osorio, LL Linden (2019). Medium-and long-term educational consequences of alternative conditional cash transfer designs: Experimental evidence from Colombia. … Economic Journal: Applied …."
5,MB Nyqvist et al. (2019),2019,68,American Economic Journal: Applied Economics,Reducing child mortality in the last mile: experimental evidence on community health promoters in Uganda,,"MB Nyqvist, A Guariso, J Svensson (2019). Reducing child mortality in the last mile: experimental evidence on community health promoters in Uganda. American Economic …."
6,M Björkman Nyqvist et al. (2018),2018,65,American Economic Journal: Applied Economics,Incentivizing safer sexual behavior: evidence from a lottery experiment on HIV prevention,,"M Björkman Nyqvist, L Corno, D De Walque (2018). Incentivizing safer sexual behavior: evidence from a lottery experiment on HIV prevention. American Economic …."
7,N Dwenger et al. (2016),2016,516,American Economic Journal: Economic Policy,Extrinsic and intrinsic motivations for tax compliance: Evidence from a field experiment in Germany,,"N Dwenger, H Kleven, I Rasul, J Rincke (2016). Extrinsic and intrinsic motivations for tax compliance: Evidence from a field experiment in Germany. … Economic Journal: Economic …."
8,K Ito et al. (2018),2018,358,American Economic Journal: Economic Policy,Moral suasion and economic incentives: Field experimental evidence from energy demand,,"K Ito, T Ida, M Tanaka (2018). Moral suasion and economic incentives: Field experimental evidence from energy demand. American Economic Journal: Economic Policy."
9,SD Levitt et al. (2016),2016,551,American Economic Journal: Economic Policy,The behavioralist goes to school: Leveraging behavioral economics to improve educational performance,,"SD Levitt, JA List, S Neckermann (2016). The behavioralist goes to school: Leveraging behavioral economics to improve educational performance. … Journal: Economic Policy."
10,K Ito et al. (2018),2018,0,American Economic Journal: Economic Policy,"Revised version published in American Economic Journal: Economic Policy, 2018, 10 (1)",,"K Ito, T Ida, M Tanaka (2018). Revised version published in American Economic Journal: Economic Policy, 2018, 10 (1). American Economic Journal: Economic …."
11,N Lacetera et al. (2012),2012,289,American Economic Journal: Economic Policy,Will there be blood? Incentives and displacement effects in pro-social behavior,,"N Lacetera, M Macis, R Slonim (2012). Will there be blood? Incentives and displacement effects in pro-social behavior. … Economic Journal: Economic Policy."
12,TA Homonoff (2018),2018,228,American Economic Journal: Economic Policy,Can small incentives have large effects? The impact of taxes versus bonuses on disposable bag use,,TA Homonoff (2018). Can small incentives have large effects? The impact of taxes versus bonuses on disposable bag use. American Economic Journal: Economic Policy.
13,AR Soetevent (2011),2011,98,American Economic Journal: Economic Policy,"Payment choice, image motivation and contributions to charity: evidence from a field experiment",,"AR Soetevent (2011). Payment choice, image motivation and contributions to charity: evidence from a field experiment. American Economic Journal: Economic Policy."
14,K Ito (2015),2015,151,American Economic Journal: Economic Policy,Asymmetric incentives in subsidies: Evidence from a large-scale electricity rebate program,,K Ito (2015). Asymmetric incentives in subsidies: Evidence from a large-scale electricity rebate program. American Economic Journal: Economic Policy.
15,D Ariely et al. (2009),2009,2474,American Economic Review,Doing good or doing well? Image motivation and monetary incentives in behaving prosocially,,"D Ariely, A Bracha, S Meier (2009). Doing good or doing well? Image motivation and monetary incentives in behaving prosocially. American economic review."
16,JT Kolstad (2013),2013,344,American Economic Review,Information and quality when motivation is intrinsic: Evidence from surgeon report cards,,JT Kolstad (2013). Information and quality when motivation is intrinsic: Evidence from surgeon report cards. American Economic Review.
17,D Sliwka (2007),2007,583,American Economic Review,Trust as a signal of a social norm and the hidden costs of incentive schemes,,D Sliwka (2007). Trust as a signal of a social norm and the hidden costs of incentive schemes. American Economic Review.
18,R Bénabou et al. (2006),2006,4905,American Economic Review,Incentives and prosocial behavior,,"R Bénabou, J Tirole (2006). Incentives and prosocial behavior. American economic review."
19,R Bénabou et al. (2006),2006,1,American Economic Review,American Economic Association,,"R Bénabou, J Tirole (2006). American Economic Association. The American Economic Review."
20,J Ifcher et al. (2011),2011,410,American Economic Review,Happiness and time preference: The effect of positive affect in a random-assignment experiment,,"J Ifcher, H Zarghamee (2011). Happiness and time preference: The effect of positive affect in a random-assignment experiment. American Economic Review."
21,A Falk et al. (2006),2006,1490,American Economic Review,The hidden costs of control,,"A Falk, M Kosfeld (2006). The hidden costs of control. American Economic Review."
22,E Duflo et al. (2012),2012,1297,American Economic Review,Incentives work: Getting teachers to come to school,,"E Duflo, R Hanna, SP Ryan (2012). Incentives work: Getting teachers to come to school. American economic review."
23,C Leaver et al. (2021),2021,106,American Economic Review,"Recruitment, effort, and retention effects of performance contracts for civil servants: Experimental evidence from Rwandan primary schools",,"C Leaver, O Ozier, P Serneels, A Zeitlin (2021). Recruitment, effort, and retention effects of performance contracts for civil servants: Experimental evidence from Rwandan primary schools. American economic review."
24,EP Lazear (2000),2000,4053,American Economic Review,Performance pay and productivity,,EP Lazear (2000). Performance pay and productivity. American Economic Review.
25,J Angrist et al. (2009),2009,609,American Economic Review,The effects of high stakes high school achievement awards: Evidence from a randomized trial,,"J Angrist, V Lavy (2009). The effects of high stakes high school achievement awards: Evidence from a randomized trial. American economic review."
26,CE Landry et al. (2010),2010,209,American Economic Review,Is a donor in hand better than two in the bush? Evidence from a natural field experiment,,"CE Landry, A Lange, JA List, MK Price (2010). Is a donor in hand better than two in the bush? Evidence from a natural field experiment. American Economic …."
27,B Bartling et al. (2012),2012,174,American Economic Review,"Screening, competition, and job design: Economic origins of good jobs",,"B Bartling, E Fehr, KM Schmidt (2012). Screening, competition, and job design: Economic origins of good jobs. American Economic Review."
28,F Schilbach (2019),2019,273,American Economic Review,Alcohol and self-control: A field experiment in India,,F Schilbach (2019). Alcohol and self-control: A field experiment in India. American economic review.
29,C Prendergast (NA),NA,12,American Economic Review,The Motivation and Bias of Bureaucrats,,C Prendergast (NA). The Motivation and Bias of Bureaucrats. NA.
30,R Gibson et al. (2013),2013,343,American Economic Review,Preferences for truthfulness: Heterogeneity among and within individuals,,"R Gibson, C Tanner, AF Wagner (2013). Preferences for truthfulness: Heterogeneity among and within individuals. American Economic Review."
31,E Duflo et al. (2001),2001,0,American Economic Review,American Economic Association,,"E Duflo, R Hanna, SP Ryan (2001). American Economic Association. … American Economic …."
32,G Georgiadis et al. (2022),2022,8,American Economic Review,A/b contracts,,"G Georgiadis, M Powell (2022). A/b contracts. American Economic Review."
33,D Huffman et al. (2022),2022,123,American Economic Review,Persistent overconfidence and biased memory: Evidence from managers,,"D Huffman, C Raymond, J Shvets (2022). Persistent overconfidence and biased memory: Evidence from managers. American Economic Review."
34,T Lane et al. (2023),2023,44,American Economic Review,Law and norms: Empirical evidence,,"T Lane, D Nosenzo, S Sonderegger (2023). Law and norms: Empirical evidence. American Economic Review."
35,R Jayaraman et al. (2016),2016,54,American Economic Review,Anatomy of a contract change,,"R Jayaraman, D Ray, F De Véricourt (2016). Anatomy of a contract change. American Economic Review."
36,F Huang et al. (2010),2010,64,American Economic Review,Applicant screening and performance-related outcomes,,"F Huang, P Cappelli (2010). Applicant screening and performance-related outcomes. American Economic Review."
37,RM Campos-Vazquez et al. (2016),2016,11,American Economic Review,Does corruption affect cooperation? A laboratory experiment,,"RM Campos-Vazquez, LA Mejia (2016). Does corruption affect cooperation? A laboratory experiment. Latin American Economic Review."
38,RC Merton (1998),1998,685,American Economic Review,Applications of option-pricing theory: twenty-five years later,,RC Merton (1998). Applications of option-pricing theory: twenty-five years later. The American Economic Review.
39,T Ellingsen et al. (2008),2008,831,American Economic Review,Pride and prejudice: The human side of incentive theory,,"T Ellingsen, M Johannesson (2008). Pride and prejudice: The human side of incentive theory. American economic review."
40,JE Stiglitz (2002),2002,2671,American Economic Review,Information and the Change in the Paradigm in Economics,,JE Stiglitz (2002). Information and the Change in the Paradigm in Economics. American economic review.
41,MV Anauati et al. (2015),2015,48,American Economic Review,The rise of noncommunicable diseases in Latin America and the Caribbean: challenges for public health policies,,"MV Anauati, S Galiani, F Weinschelbaum (2015). The rise of noncommunicable diseases in Latin America and the Caribbean: challenges for public health policies. … American Economic Review."
42,T Agasisti et al. (2023),2023,0,American Economic Review,"The productivity of Colombian public schools and its determinants from a value-added perspective, 2014–2019",,"T Agasisti, J Arias, G Bernal, LK Abadía (2023). The productivity of Colombian public schools and its determinants from a value-added perspective, 2014–2019. … American Economic Review."
43,G Charness et al. (2009),2009,931,Econometrica,Incentives to exercise,,"G Charness, U Gneezy (2009). Incentives to exercise. Econometrica."
44,A Falk (2007),2007,571,Econometrica,Gift exchange in the field,,A Falk (2007). Gift exchange in the field. Econometrica.
45,JL Spenkuch et al. (2023),2023,86,Econometrica,Ideology and performance in public organizations,,"JL Spenkuch, E Teso, G Xu (2023). Ideology and performance in public organizations. Econometrica."
46,D Acemoglu et al. (2011),2011,379,Econometrica,The economics of labor coercion,,"D Acemoglu, A Wolitzky (2011). The economics of labor coercion. Econometrica."
47,N Dwenger et al. (2016),2016,516,Economic Policy,Extrinsic and intrinsic motivations for tax compliance: Evidence from a field experiment in Germany,,"N Dwenger, H Kleven, I Rasul, J Rincke (2016). Extrinsic and intrinsic motivations for tax compliance: Evidence from a field experiment in Germany. … Journal: Economic Policy."
48,K Ito et al. (2018),2018,358,Economic Policy,Moral suasion and economic incentives: Field experimental evidence from energy demand,,"K Ito, T Ida, M Tanaka (2018). Moral suasion and economic incentives: Field experimental evidence from energy demand. American Economic Journal: Economic Policy."
49,SD Levitt et al. (2016),2016,551,Economic Policy,The behavioralist goes to school: Leveraging behavioral economics to improve educational performance,,"SD Levitt, JA List, S Neckermann (2016). The behavioralist goes to school: Leveraging behavioral economics to improve educational performance. … Journal: Economic Policy."
50,AR Soetevent (2011),2011,98,Economic Policy,"Payment choice, image motivation and contributions to charity: evidence from a field experiment",,"AR Soetevent (2011). Payment choice, image motivation and contributions to charity: evidence from a field experiment. American Economic Journal: Economic Policy."
51,N Lacetera et al. (2012),2012,289,Economic Policy,Will there be blood? Incentives and displacement effects in pro-social behavior,,"N Lacetera, M Macis, R Slonim (2012). Will there be blood? Incentives and displacement effects in pro-social behavior. … Economic Journal: Economic Policy."
52,B ter Weel et al. (2013),2013,1,Economic Policy,The importance of intrinsic and exrinsic motivation for measuring IQ,,"B ter Weel, L Borghans, H Meijers (2013). The importance of intrinsic and exrinsic motivation for measuring IQ. NA."
53,K Ito et al. (2018),2018,0,Economic Policy,"Revised version published in American Economic Journal: Economic Policy, 2018, 10 (1)",,"K Ito, T Ida, M Tanaka (2018). Revised version published in American Economic Journal: Economic Policy, 2018, 10 (1). … Economic Journal: Economic Policy."
54,TA Homonoff (2018),2018,228,Economic Policy,Can small incentives have large effects? The impact of taxes versus bonuses on disposable bag use,,TA Homonoff (2018). Can small incentives have large effects? The impact of taxes versus bonuses on disposable bag use. American Economic Journal: Economic Policy.
55,M Baggio et al. (2023),2023,1,Economic Policy,Employees' reaction to gender pay transparency: an online experiment,,"M Baggio, G Marandola (2023). Employees' reaction to gender pay transparency: an online experiment. Economic policy."
56,E Mustajbašić et al. (2016),2016,11,Economic Policy,Impact of culture on work motivation: Case of Bosnia and Herzegovina,,"E Mustajbašić, D Husaković (2016). Impact of culture on work motivation: Case of Bosnia and Herzegovina. … of Business & Economic Policy."
57,K Turk et al. (2014),2014,3,Economic Policy,Performance Management of Academic Staff on the Example of the Faculties of Economics in University of Tartu and in Tallinn University of Technology,,"K Turk, E Killumets (2014). Performance Management of Academic Staff on the Example of the Faculties of Economics in University of Tartu and in Tallinn University of Technology. Discussions on Estonian Economic Policy: EU …."
58,A Niessen-Ruenzi et al. (2014),2014,13,Economic Policy,To Pay or Not to Pay-Evidence from Whole Blood Donations in Germany,,"A Niessen-Ruenzi, M Weber (2014). To Pay or Not to Pay-Evidence from Whole Blood Donations in Germany. … Economic …."
59,E Killumets et al. (2014),2014,0,Economic Policy,PERFORMANCE MANAGEMENT OF ACADEMIC STAFF ON THE EXAMPLE OF THE FACULTIES OF ECONOMICS IN UNIVERSITY OF TARTU AND IN TALLINN …,,"E Killumets, K Türk (2014). PERFORMANCE MANAGEMENT OF ACADEMIC STAFF ON THE EXAMPLE OF THE FACULTIES OF ECONOMICS IN UNIVERSITY OF TARTU AND IN TALLINN …. … ECONOMIC POLICY EU Member States after the …."
60,S Grönblom et al. (2014),2014,26,Economic Policy,"Organisational form and individual motivation: public ownership, privatisation and fat cats",,"S Grönblom, J Willner (2014). Organisational form and individual motivation: public ownership, privatisation and fat cats. Journal of Economic Policy Reform."
61,K Türk et al. (2014),2014,0,Economic Policy,Performance Management of Academic Staff on the Example of the Faculties of Economics in University of Tartu and in Tallinn University of Technology,,"K Türk, E Killumets (2014). Performance Management of Academic Staff on the Example of the Faculties of Economics in University of Tartu and in Tallinn University of Technology. Estonian Discussions on Economic Policy."
62,B Jacobs et al. (2006),2006,369,Economic Policy,Guide to reform of higher education: a European perspective,,"B Jacobs, F Van Der Ploeg (2006). Guide to reform of higher education: a European perspective. Economic Policy."
63,K Ferree et al. (2015),2015,2,Economic Policy,Using Technology to Promote Participation in Emerging Democracies: VIP: Voice and the 2014 South African Election,,"K Ferree, C Gibson, DF Jung, JD Long (2015). Using Technology to Promote Participation in Emerging Democracies: VIP: Voice and the 2014 South African Election. … Economic Policy …."
64,K Ito (2015),2015,151,Economic Policy,Asymmetric incentives in subsidies: Evidence from a large-scale electricity rebate program,,K Ito (2015). Asymmetric incentives in subsidies: Evidence from a large-scale electricity rebate program. American Economic Journal: Economic Policy.
65,J Stiglitz (1999),1999,496,Economic Policy,Public policy for a knowledge economy,,J Stiglitz (1999). Public policy for a knowledge economy. … and Industry and Center for Economic Policy ….
66,P Nandru et al. (2024),2024,2,Economic Policy,"Socioeconomic determinants of ownership of payment cards, mobile money account, and government remittances of digital financial services: evidence from India",,"P Nandru, M Chendragiri (2024). Socioeconomic determinants of ownership of payment cards, mobile money account, and government remittances of digital financial services: evidence from India. … Financial Economic Policy."
67,W Kopczuk (2006),2006,50,Economic Policy,Tax simplification and tax compliance: An economic perspective,,W Kopczuk (2006). Tax simplification and tax compliance: An economic perspective. Bridging the tax gap. Addressing the crisis in tax ….
68,T Cunningham et al. (2022),2022,10,Economic Policy,Implicit preferences,,"T Cunningham, J De Quidt (2022). Implicit preferences. NA."
69,H Horta (2023),2023,10,Economic Policy,Emerging and near future challenges of higher education in East Asia,,H Horta (2023). Emerging and near future challenges of higher education in East Asia. Asian Economic Policy Review.
70,J Stiglitz (1999),1999,75,Economic Policy,Knowledge in the modern economy,,J Stiglitz (1999). Knowledge in the modern economy. The economics of the knowledge driven economy.
71,DI Levine et al. (1995),1995,13,Economic Policy,A quality policy for America,,"DI Levine, S Helper (1995). A quality policy for America. Contemporary Economic Policy."
72,J Niebloom (2011),2011,0,Economic Policy,"Approaches to Antitrust Analysis: Historical and Modern Objectives, Economic Policy Concerns, and the Theoretical Underpinnings of the Statutory and Adjudicative …",,"J Niebloom (2011). Approaches to Antitrust Analysis: Historical and Modern Objectives, Economic Policy Concerns, and the Theoretical Underpinnings of the Statutory and Adjudicative …. Economic Policy Concerns, and the Theoretical …."
73,JP Platteau et al. (2019),2019,0,Economic Policy,The dynamics of family systems: lessons from past and present times,,"JP Platteau, C Guirkinger (2019). The dynamics of family systems: lessons from past and present times. NA."
74,JA Robinson et al. (2021),2021,0,Economic Policy,"Culture, Institutions, and Equilibria: A Framework",,"JA Robinson, D Acemoglu (2021). Culture, Institutions, and Equilibria: A Framework. NA."
75,J Abeler et al. (2015),2015,84,Experimental Economics,Self-selection into laboratory experiments: pro-social motives versus monetary incentives,,"J Abeler, D Nosenzo (2015). Self-selection into laboratory experiments: pro-social motives versus monetary incentives. Experimental Economics."
76,V Mertins et al. (2021),2021,26,Experimental Economics,In absence of money: a field experiment on volunteer work motivation,,"V Mertins, C Walter (2021). In absence of money: a field experiment on volunteer work motivation. Experimental Economics."
77,S Erat et al. (2016),2016,141,Experimental Economics,Incentives for creativity,,"S Erat, U Gneezy (2016). Incentives for creativity. Experimental Economics."
78,Z Dorner et al. (2023),2023,2,Experimental Economics,Don't pay the highly motivated too much,,"Z Dorner, E Lancsar (2023). Don't pay the highly motivated too much. Journal of Behavioral and Experimental Economics."
79,V Fanghella et al. (2021),2021,18,Experimental Economics,Energy saving in a simulated environment: An online experiment of the interplay between nudges and financial incentives,,"V Fanghella, M Ploner, M Tavoni (2021). Energy saving in a simulated environment: An online experiment of the interplay between nudges and financial incentives. … and Experimental Economics."
80,H Takahashi et al. (2016),2016,35,Experimental Economics,An experimental examination of compensation schemes and level of effort in differentiated tasks,,"H Takahashi, J Shen, K Ogawa (2016). An experimental examination of compensation schemes and level of effort in differentiated tasks. … Behavioral and Experimental Economics."
81,NIV Gonzalez et al. (2024),2024,3,Experimental Economics,"The relationship between monetary incentives, social status, and physical activity",,"NIV Gonzalez, JY Kee, MA Palma, JR Pruitt (2024). The relationship between monetary incentives, social status, and physical activity. … and Experimental Economics."
82,R Romaniuc (2017),2017,30,Experimental Economics,Intrinsic motivation in economics: a history,,R Romaniuc (2017). Intrinsic motivation in economics: a history. Journal of Behavioral and Experimental Economics.
83,L Vesterlund (2016),2016,102,Experimental Economics,Using experimental methods to understand why and how we give to charity,,L Vesterlund (2016). Using experimental methods to understand why and how we give to charity. Handbook of experimental economics.
84,CT Elbaek et al. (2022),2022,12,Experimental Economics,On the psychology of bonuses: The effects of loss aversion and Yerkes-Dodson law on performance in cognitively and mechanically demanding tasks,,"CT Elbaek, MN Lystbæk, P Mitkidis (2022). On the psychology of bonuses: The effects of loss aversion and Yerkes-Dodson law on performance in cognitively and mechanically demanding tasks. … and Experimental Economics."
85,M Kirchler et al. (2018),2018,26,Experimental Economics,Immaterial and monetary gifts in economic transactions: Evidence from the field,,"M Kirchler, S Palan (2018). Immaterial and monetary gifts in economic transactions: Evidence from the field. Experimental economics."
86,A Imas (2021),2021,0,Experimental Economics,A fine is a price (by Uri Gneezy and Aldo Rustichini),,A Imas (2021). A fine is a price (by Uri Gneezy and Aldo Rustichini). The Art of Experimental Economics.
87,J Conrads et al. (2016),2016,20,Experimental Economics,How to hire helpers? Evidence from a field experiment,,"J Conrads, B Irlenbusch, T Reggiani, RM Rilke (2016). How to hire helpers? Evidence from a field experiment. Experimental …."
88,TM McDaniel et al. (2001),2001,39,Experimental Economics,Decision making costs and problem solving performance,,"TM McDaniel, EE Rutström (2001). Decision making costs and problem solving performance. Experimental Economics."
89,O Ravid et al. (2021),2021,3,Experimental Economics,"Incentives, mission and productivity",,"O Ravid, M Malul (2021). Incentives, mission and productivity. Journal of Behavioral and Experimental Economics."
90,A Alekseev (2022),2022,1,Experimental Economics,Give me a challenge or give me a raise,,A Alekseev (2022). Give me a challenge or give me a raise. Experimental Economics.
91,L Barile et al. (2015),2015,41,Experimental Economics,Will one size fit all? Incentives designed to nurture prosocial behaviour,,"L Barile, J Cullis, P Jones (2015). Will one size fit all? Incentives designed to nurture prosocial behaviour. … of Behavioral and Experimental Economics."
92,A Festré (2018),2018,1,Experimental Economics,Do people stand by their commitments? Evidence from a classroom experiment,,A Festré (2018). Do people stand by their commitments? Evidence from a classroom experiment. Journal of Behavioral and Experimental Economics.
93,Y Jie (2020),2020,0,Experimental Economics,Responding to requests for help: Effects of payoff schemes with small monetary units,,Y Jie (2020). Responding to requests for help: Effects of payoff schemes with small monetary units. Journal of Behavioral and Experimental Economics.
94,S Gächter et al. (2016),2016,86,Experimental Economics,Combining “real effort” with induced effort costs: the ball-catching task,,"S Gächter, L Huang, M Sefton (2016). Combining “real effort” with induced effort costs: the ball-catching task. Experimental economics."
95,P Arora et al. (2023),2023,0,Experimental Economics,Can rank-based non-monetary rewards improve student attendance? Experimental evidence from India,,"P Arora, T Musaddiq (2023). Can rank-based non-monetary rewards improve student attendance? Experimental evidence from India. Journal of Behavioral and Experimental Economics."
96,R Kerschbamer et al. (2023),2023,0,Experimental Economics,The effect of random shocks on reciprocal behavior in dynamic principal-agent settings,,"R Kerschbamer, R Oexl (2023). The effect of random shocks on reciprocal behavior in dynamic principal-agent settings. Experimental Economics."
97,T So (2020),2020,2,Experimental Economics,Classroom experiments as a replication device,,T So (2020). Classroom experiments as a replication device. Journal of Behavioral and Experimental Economics.
98,JC Cox et al. (2017),2017,56,Experimental Economics,Status quo effects in fairness games: reciprocal responses to acts of commission versus acts of omission,,"JC Cox, M Servátka, R Vadovič (2017). Status quo effects in fairness games: reciprocal responses to acts of commission versus acts of omission. Experimental Economics."
99,M Lynn (2021),2021,8,Experimental Economics,The effects of injunctive and descriptive tipping norms on tipping behavior and motives,,M Lynn (2021). The effects of injunctive and descriptive tipping norms on tipping behavior and motives. Journal of Behavioral and Experimental Economics.
100,A Friedl et al. (2018),2018,8,Experimental Economics,Payment scheme changes and effort adjustment: the role of 2D: 4D digit ratio,,"A Friedl, L Neyse, U Schmidt (2018). Payment scheme changes and effort adjustment: the role of 2D: 4D digit ratio. … of behavioral and experimental economics."
101,J Bezalel et al. (2021),2021,9,Experimental Economics,Meaning and gender differences,,"J Bezalel, Y Mugerman, E Winter (2021). Meaning and gender differences. … and Experimental Economics."
102,N Etchart-Vincent et al. (2008),2008,3,Experimental Economics,Monetary incentives in the loss domain: An experimental comparison of three rewarding schemes including real losses,,"N Etchart-Vincent, O l'Haridon (2008). Monetary incentives in the loss domain: An experimental comparison of three rewarding schemes including real losses. … Experimental Economics …."
103,B Boulu-Reshef et al. (2024),2024,0,Experimental Economics,Signaling trustworthiness with the choice of a prosocial project: Theory and experiment,,"B Boulu-Reshef, G Kuechle, LM Rohland (2024). Signaling trustworthiness with the choice of a prosocial project: Theory and experiment. … and Experimental Economics."
104,E Magnani et al. (2018),2018,60,Experimental Economics,Does kindness lead to happiness? Voluntary activities and subjective well-being,,"E Magnani, R Zhu (2018). Does kindness lead to happiness? Voluntary activities and subjective well-being. Journal of behavioral and experimental economics."
105,M Lynn (2016),2016,22,Experimental Economics,Motivations for tipping: How they differ across more and less frequently tipped services,,M Lynn (2016). Motivations for tipping: How they differ across more and less frequently tipped services. Journal of Behavioral and Experimental Economics.
